bytes,conversion_status,converted_pdf,converted_pdf_historical,converted_pdf_included,error_log,evidence_card_included,evidence_path,evidence_path_historical,evidence_path_included,filename,formula_table_risk,header_page_count,id,original_format,pdf_page_count,reading_status,sha256,source_path,spotcheck_artifact,spotcheck_artifact_historical,spotcheck_artifact_included,text_quality,visual_spotcheck_pages
4960620,pdf_valid_page_tree,,@repo/context_after_html/project/workstreams/literature/converted/中国高技术产业创新系统资源配置效率与优化研究_杜明月.pdf,False,,False,,@repo/context_after_html/project/workstreams/literature/logs/01_convert.log,False,中国高技术产业创新系统资源配置效率与优化研究_杜明月.caj,"math, merged tables and columns require image comparison",211,1,CAJ,211,visual-readable PDF with native selectable text,7884d10e2499c1446f6896aeaf3404c862fd4419af75c7101038a3d30fce42c8,@repo/文献参考（老师找的）/中国高技术产业创新系统资源配置效率与优化研究_杜明月.caj,,qa/caj_contact.jpg,False,native selectable text; 209/211 pages >100 chars; visual sample matches source layout; no OCR,1;105
3417278,pdf_valid_page_tree,,@repo/context_after_html/project/workstreams/literature/converted/产业链协同创新下制造企业转型升级的资源配置有效组态及对策研究_陈白雪.pdf,False,,False,,@repo/context_after_html/project/workstreams/literature/logs/02_convert.log,False,产业链协同创新下制造企业转型升级的资源配置有效组态及对策研究_陈白雪.caj,"math, merged tables and columns require image comparison",60,2,CAJ,60,visual-readable PDF with native selectable text,8e31b6471748cf26ee8a600c254519a84b484367ed291f19d608a7559e23bb90,@repo/文献参考（老师找的）/产业链协同创新下制造企业转型升级的资源配置有效组态及对策研究_陈白雪.caj,,qa/caj_contact.jpg,False,native selectable text; 53/60 pages >100 chars; visual sample matches source layout; no OCR,1;30
2238412,pdf_valid_page_tree,,@repo/context_after_html/project/workstreams/literature/converted/创新型国家的研发资源配置效率研究_何佳.pdf,False,,False,,@repo/context_after_html/project/workstreams/literature/logs/03_convert.log,False,创新型国家的研发资源配置效率研究_何佳.caj,"math, merged tables and columns require image comparison",,3,KDH,68,visual-readable PDF with native selectable text,ebf92f23965fb9f70499e9c0b4f818c4f9fdd5ef6ef8ebaed29a87eab44e7de6,@repo/文献参考（老师找的）/创新型国家的研发资源配置效率研究_何佳.caj,,qa/caj_contact.jpg,False,native selectable text; 67/68 pages >100 chars; visual sample matches source layout; no OCR,1;34
2983317,pdf_valid_page_tree,,@repo/context_after_html/project/workstreams/literature/converted/创新资源配置对中国区域创新驱动影响研究_郝铖文(1).pdf,False,,False,,@repo/context_after_html/project/workstreams/literature/logs/04_convert.log,False,创新资源配置对中国区域创新驱动影响研究_郝铖文(1).caj,"math, merged tables and columns require image comparison",75,4,CAJ,75,visual-readable PDF with native selectable text,7f83d87c645d77dacfa1be591c23f73abb662236d6a0c47a984fd81d36d03017,@repo/文献参考（老师找的）/创新资源配置对中国区域创新驱动影响研究_郝铖文(1).caj,,qa/caj_contact.jpg,False,native selectable text; 68/75 pages >100 chars; visual sample matches source layout; no OCR,1;37
626460,pdf_valid_page_tree,,@repo/context_after_html/project/workstreams/literature/converted/创新集群知识资源配置模式研究_梁晨(1).pdf,False,,False,,@repo/context_after_html/project/workstreams/literature/logs/05_convert.log,False,创新集群知识资源配置模式研究_梁晨(1).caj,"math, merged tables and columns require image comparison",57,5,CAJ,57,visual-readable PDF with native selectable text,6451f8dd32b152037e1beafdbce6efe50e5abe68d21dfa2b03d92e5e6dfe7056,@repo/文献参考（老师找的）/创新集群知识资源配置模式研究_梁晨(1).caj,,qa/caj_contact.jpg,False,native selectable text; 49/57 pages >100 chars; visual sample matches source layout; no OCR,1;28
2399073,pdf_valid_page_tree,,@repo/context_after_html/project/workstreams/literature/converted/区域创新系统资源配置效率的演进规律与创新机制研究_王亮.pdf,False,,False,,@repo/context_after_html/project/workstreams/literature/logs/06_convert.log,False,区域创新系统资源配置效率的演进规律与创新机制研究_王亮.caj,"math, merged tables and columns require image comparison",193,6,CAJ,193,visual-readable PDF with native selectable text,8bf4cdfff2fa9b3ee0341093669e10d3cb3629f2964e2121c30b1f23c53dae3e,@repo/文献参考（老师找的）/区域创新系统资源配置效率的演进规律与创新机制研究_王亮.caj,,qa/caj_contact.jpg,False,native selectable text; 188/193 pages >100 chars; visual sample matches source layout; no OCR,1;96
9620400,pdf_valid_page_tree,,@repo/context_after_html/project/workstreams/literature/converted/区域创新资源配置系统的差异性研究_孙夙鹏.pdf,False,,False,,@repo/context_after_html/project/workstreams/literature/logs/07_convert.log,False,区域创新资源配置系统的差异性研究_孙夙鹏.caj,all formula/table content remains in page images; OCR would need verification,176,7,HN,176,visual-readable image PDF; selective OCR needed for search,de03f63f54143cb632bb2cf9567648a265ffbb58712104573c87f31ea87f2b4c,@repo/文献参考（老师找的）/区域创新资源配置系统的差异性研究_孙夙鹏.caj,,qa/hn_contact.jpg,False,no useful selectable text; 0/176 pages >100 chars; visual sample matches source layout; no OCR,2;88
2152519,pdf_valid_page_tree,,@repo/context_after_html/project/workstreams/literature/converted/基于DEA-MI的2011协同创新中心资源配置效率研究_潘思文.pdf,False,,False,,@repo/context_after_html/project/workstreams/literature/logs/08_convert.log,False,基于DEA-MI的2011协同创新中心资源配置效率研究_潘思文.caj,"math, merged tables and columns require image comparison",84,8,CAJ,84,visual-readable PDF with native selectable text,4b582c04fd2d482ebd0eb09f3123e37b72282443aa0bba88d636ea52fb0abea2,@repo/文献参考（老师找的）/基于DEA-MI的2011协同创新中心资源配置效率研究_潘思文.caj,,qa/caj_contact.jpg,False,native selectable text; 81/84 pages >100 chars; visual sample matches source layout; no OCR,1;42
5880916,pdf_valid_page_tree,,@repo/context_after_html/project/workstreams/literature/converted/基于协同理论的科技资源配置对国家创新能力提升机制研究_冯陈澄.pdf,False,,False,,@repo/context_after_html/project/workstreams/literature/logs/09_convert.log,False,基于协同理论的科技资源配置对国家创新能力提升机制研究_冯陈澄.caj,all formula/table content remains in page images; OCR would need verification,66,9,HN,66,visual-readable image PDF; selective OCR needed for search,b56287f946699d01977e46b8cc1662c00df7a6bbae16e74f910a4e1e0444eabe,@repo/文献参考（老师找的）/基于协同理论的科技资源配置对国家创新能力提升机制研究_冯陈澄.caj,,qa/hn_contact.jpg,False,no useful selectable text; 0/66 pages >100 chars; visual sample matches source layout; no OCR,2;33
16530973,pdf_valid_page_tree,@repo/context_after_html/project/workstreams/literature/converted/基于科技计划的区域科技创新资源配置系统优化研究_王雪原.pdf,,True,,True,@repo/context_after_html/project/workstreams/literature/logs/10_convert.log,,True,基于科技计划的区域科技创新资源配置系统优化研究_王雪原.caj,"52 converter image-position warnings; sampled PDF p.47 figure is legible; other warned pages need check before citation; image-only, no OCR",217,10,HN,217,visual-readable image PDF; selective OCR needed for search,db443e217413caeb11ed19c62059eefb2513293c97097025ab4dbd8b07b0224f,@repo/文献参考（老师找的）/基于科技计划的区域科技创新资源配置系统优化研究_王雪原.caj,,qa/hn_contact.jpg,False,no useful selectable text; 0/217 pages >100 chars; visual sample matches source layout; no OCR,2;108
5127216,pdf_valid_page_tree,,@repo/context_after_html/project/workstreams/literature/converted/广州创新型城市建设的创新资源配置研究_何志妹.pdf,False,,False,,@repo/context_after_html/project/workstreams/literature/logs/11_convert.log,False,广州创新型城市建设的创新资源配置研究_何志妹.caj,all formula/table content remains in page images; OCR would need verification,61,11,HN,61,visual-readable image PDF; selective OCR needed for search,4e7c1a753e17d7b7f5d51c809881abd6200f27842694b5077793d9abd0860cff,@repo/文献参考（老师找的）/广州创新型城市建设的创新资源配置研究_何志妹.caj,,qa/hn_contact.jpg,False,no useful selectable text; 0/61 pages >100 chars; visual sample matches source layout; no OCR,2;30
9531461,pdf_valid_page_tree,,@repo/context_after_html/project/workstreams/literature/converted/我国区域创新资源配置效率研究_金中杰.pdf,False,,False,,@repo/context_after_html/project/workstreams/literature/logs/12_convert.log,False,我国区域创新资源配置效率研究_金中杰.caj,all formula/table content remains in page images; OCR would need verification,73,12,HN,73,visual-readable image PDF; selective OCR needed for search,530e2dc7b12cf711261ced7c791bd999dc376cc34fe77dbc07d5680dc966c8ce,@repo/文献参考（老师找的）/我国区域创新资源配置效率研究_金中杰.caj,,qa/hn_contact.jpg,False,no useful selectable text; 0/73 pages >100 chars; visual sample matches source layout; no OCR,2;36
8770730,pdf_valid_page_tree,,@repo/context_after_html/project/workstreams/literature/converted/武汉市创新资源动态演化及配置效果评价研究_黄燕婷.pdf,False,,False,,@repo/context_after_html/project/workstreams/literature/logs/13_convert.log,False,武汉市创新资源动态演化及配置效果评价研究_黄燕婷.caj,all formula/table content remains in page images; OCR would need verification,69,13,HN,69,visual-readable image PDF; selective OCR needed for search,86ec9cc5d213d312b60f27e79ce3a2fd4b078d8073b0c1937f99b4e40abd7c13,@repo/文献参考（老师找的）/武汉市创新资源动态演化及配置效果评价研究_黄燕婷.caj,,qa/hn_contact.jpg,False,no useful selectable text; 0/69 pages >100 chars; visual sample matches source layout; no OCR,2;34
592524,pdf_valid_page_tree,@repo/context_after_html/project/workstreams/literature/converted/江苏省区域创新资源配置研究_陈才华.pdf,,True,,True,@repo/context_after_html/project/workstreams/literature/pilot_evidence.md,,True,江苏省区域创新资源配置研究_陈才华.caj,PDF p.40 formula order damaged in text export; Tables 3-1/3-2/3-4/3-5 checked against page images; original numeric/caption inconsistencies remain,69,14,CAJ,69,deep-read and visual-verified pilot; selectable text PDF,aa81152bbdd3d75b343a747280d794457104ceeff832a3725fee271db3a76c94,@repo/文献参考（老师找的）/江苏省区域创新资源配置研究_陈才华.caj,,qa/caj_contact.jpg,False,native selectable text; 69/69 pages >100 chars; visual sample matches source layout; no OCR,1;34
5279279,pdf_valid_page_tree,,@repo/context_after_html/project/workstreams/literature/converted/浙江省区域创新资源配置的研究_陈瑶瑶(1).pdf,False,,False,,@repo/context_after_html/project/workstreams/literature/logs/15_convert.log,False,浙江省区域创新资源配置的研究_陈瑶瑶(1).caj,"2 converter redundant-image skips; sampled PDF p.2 and p.60 legible; image-only, no OCR",119,15,HN,119,visual-readable image PDF; selective OCR needed for search,684500fc1f7dc4d1e01d5fdb37a45ebac196a2666a35787b04f0db499ca84ffc,@repo/文献参考（老师找的）/浙江省区域创新资源配置的研究_陈瑶瑶(1).caj,,qa/hn_contact.jpg,False,no useful selectable text; 0/119 pages >100 chars; visual sample matches source layout; no OCR,2;59
