id,对照命题,判定,原文事实,写作处理,原PDF文件名,PDF物理页与印刷页,式号图号或短引文,原PPT文件名,PPT页序
F01,三机制框架,修正归因,基础=免费初配；竞争=拍卖/交易；奖励=评价/碳补偿,底稿正确区分时可沿用，不可把三原则分别塞进三机制,土地利用视角的长江经济带碳排放权分配研究-212403 邹倩圆.pdf,物理23–25/印刷11–13,2.2.3节；图2.1；“评价体系和碳补偿机制”,212403 邹倩圆答辩.pptx,4
F02,公平/效率/综合各等于基础/竞争/奖励,必须修改,责任/效率/综合为第四章三种初始分配方案，皆属于基础配置,将三情景放在初始配置内部；另写交易和评价激励,土地利用视角的长江经济带碳排放权分配研究-212403 邹倩圆.pdf,物理47/印刷35；物理70/印刷58,第四章章首；第五章章首,212403 邹倩圆答辩.pptx,18
F03,先确定可分配总量,可沿用结构,96城，2021–2030碳配额总量先由碳强度、GDP目标推算，后供第四章分配,南京需换成有权限且同质的明确资源池,土地利用视角的长江经济带碳排放权分配研究-212403 邹倩圆.pdf,物理44/印刷32；物理45/印刷33,式3.8–3.10；图3.9,212403 邹倩圆答辩.pptx,4
F04,责任/公平的原模型,只能改造,历史排放、实际减拟合合理排放的转移责任、发展责任三维,创新公平需自定义基本机会/可核需求/可达性，不可改名复用碳责任,土地利用视角的长江经济带碳排放权分配研究-212403 邹倩圆.pdf,物理47/印刷35；物理49/印刷37；物理59–60/印刷47–48,式4.1–4.2、4.7–4.11,212403 邹倩圆答辩.pptx,18
F05,空间计量等同社会空间网络,必须修改,原文SDM/SEM/SAR拟合合理碳排放，地理距离平方倒数为W,关系网络是新增实证层，不能称原文SNA,土地利用视角的长江经济带碳排放权分配研究-212403 邹倩圆.pdf,物理49–50/印刷37–38,式4.2–4.6；式4.4的W,212403 邹倩圆答辩.pptx,4
F06,ZSG-DEA用于竞争配置,必须修改,ZSG-DEA在第四章效率原则的初始配置内部，并非拍卖/交易模型,若用零和方法须明确可守恒可调剂对象,土地利用视角的长江经济带碳排放权分配研究-212403 邹倩圆.pdf,物理61–62/印刷49–50,4.2节；式4.12；图4.5位于物理63/印刷51,212403 邹倩圆答辩.pptx,24
F07,ZSG的投入/产出,须核变量,式4.12碳配额在θ约束侧，GDP/人口在≥侧；正文却把GDP/人口称“投入要素”,申报中应重定义变量经济含义，不要按原文名词直接抄,土地利用视角的长江经济带碳排放权分配研究-212403 邹倩圆.pdf,物理61/印刷49,式4.12及后文“GDP、人口数量”,212403 邹倩圆答辩.pptx,24
F08,ZSG包含能源作为产出,无式号支持,绪论叙述曾提能源消耗，但式4.12只列GDP、人口与碳配额；能源在第五章非期望产出,不要写成已核验的ZSG变量设置,土地利用视角的长江经济带碳排放权分配研究-212403 邹倩圆.pdf,物理16/印刷4；物理61/印刷49；物理72/印刷60,绪论研究内容；式4.12；式5.2,212403 邹倩圆答辩.pptx,24、29
F09,综合方案是奖励配置,必须修改,综合仍是基础配额，式4.13只加权责任和效率两套初始配额,综合权重不能代表奖励份额,土地利用视角的长江经济带碳排放权分配研究-212403 邹倩圆.pdf,物理63–64/印刷51–52,式4.13；表4.11,212403 邹倩圆答辩.pptx,26
F10,综合权重可直接用于南京,只能改造,原文熵权19.4%责任、80.6%效率，针对碳数据,南京价值权重需授权或情景敏感性，不照搬数值,土地利用视角的长江经济带碳排放权分配研究-212403 邹倩圆.pdf,物理63–64/印刷51–52,式4.13；表4.11,212403 邹倩圆答辩.pptx,26
F11,共同前沿按主体类型分组,必须修改,原文将三种分配方案下DMU各作组，共同前沿合并三组,南京若按主体类型分组是新设计，需同质性和样本条件,土地利用视角的长江经济带碳排放权分配研究-212403 邹倩圆.pdf,物理71/印刷59,5.2.1节；式5.1；“每种分配方案下的DMU视为一个组群”,212403 邹倩圆答辩.pptx,29
F12,共同前沿SBM-DEA是原文,无原文支持,原文明确“传统DEA”，式5.2为径向minθ形式，未见SBM,若拟用SBM，明确为改造,土地利用视角的长江经济带碳排放权分配研究-212403 邹倩圆.pdf,物理5/印刷I；物理72/印刷60,摘要“传统DEA”；式5.2,212403 邹倩圆答辩.pptx,29
F13,效率评价变量,可沿用位置，变量需改,第五章投入为配额碳权，期望产出GDP/人口，非期望产出能源消耗,南京用可核服务/成果及适当滞后替换,土地利用视角的长江经济带碳排放权分配研究-212403 邹倩圆.pdf,物理72/印刷60,式5.2前的变量定义,212403 邹倩圆答辩.pptx,29
F14,公平评价直接用地区资源绝对量,必须明确分母,原文洛伦兹横轴人口累计比、纵轴碳配额累计比,南京需按人口/合格主体/需求选择公平基准,土地利用视角的长江经济带碳排放权分配研究-212403 邹倩圆.pdf,物理70–71/印刷58–59,5.1节；图5.1,212403 邹倩圆答辩.pptx,28
F15,奖励是预置r_i份额,无原文支持,评价后按盈亏和交易价格划获偿/支付区；非三预算份额,如设奖励池需单独定义资金与前期核验依据,土地利用视角的长江经济带碳排放权分配研究-212403 邹倩圆.pdf,物理24–25/印刷12–13；物理73–75/印刷61–63,图2.1；式5.3；表5.4；图5.2,212403 邹倩圆答辩.pptx,30–31
F16,方案可行性直接等于接受意愿调查,必须修改,原文以碳支付占GDP、赤字配额偏离占基准比重作代理，未提供真实问卷,南京可增加合同/容量/访谈，但须称新证据,土地利用视角的长江经济带碳排放权分配研究-212403 邹倩圆.pdf,物理76–77/印刷64–65,式5.4–5.5；5.3.2节,212403 邹倩圆答辩.pptx,30
F17,竞争成熟度影响基础方案,可沿用问题结构,5.4比较市场健全/不畅条件下效率或责任初始配置的可行性,南京要换成实际服务交易/采购制度条件,土地利用视角的长江经济带碳排放权分配研究-212403 邹倩圆.pdf,物理77–80/印刷65–68,5.4–5.5节；“竞争配置的成熟度反过来会影响”,212403 邹倩圆答辩.pptx,32–33、37
F18,B*(αb+βc+γr),另一Agent新设计；非原文,原文只有式4.13的责任+效率两项加权；三机制是制度层级,若保留，单列为本项目预算规格，不能归因原论文,土地利用视角的长江经济带碳排放权分配研究-212403 邹倩圆.pdf,物理25/印刷13；物理63/印刷51,图2.1；式4.13,212403 邹倩圆答辩.pptx,26
F19,预算投影min 1/2Σ(x−v)^2及clip,另一Agent新设计；非原文,论文未出现此预算投影；实际原式4.12、4.13解决碳配额问题,可作为可行域外壳，须单列与原文模型的关系,土地利用视角的长江经济带碳排放权分配研究-212403 邹倩圆.pdf,物理61–63/印刷49–51,式4.12–4.13,212403 邹倩圆答辩.pptx,24、26
F20,q_ij服务容量模型,另一Agent新设计；非原文,原文配置量为碳配额，不含供应者—使用者服务流,若选科技服务购买，作为新模型条件化提出,土地利用视角的长江经济带碳排放权分配研究-212403 邹倩圆.pdf,物理44/印刷32；物理61/印刷49,式3.10；式4.12,212403 邹倩圆答辩.pptx,4
F21,社会空间网络、修正引力、QCA、蒙特卡洛、SBM来自原论文,无原文支持,原文核心为地理空间计量、ZSG-DEA、熵值法、传统DEA、碳补偿；完整可提取文本未见所列术语,可依据用户需求另行选用，但注明方法新增及数据门槛,土地利用视角的长江经济带碳排放权分配研究-212403 邹倩圆.pdf,物理47/印刷35；物理61/印刷49；物理71–72/印刷59–60,第四章章首；式4.12；式5.1–5.2,212403 邹倩圆答辩.pptx,4
F22,三机制×三情景的九格参数实验,另一Agent新设计；非原文,原文第四章三情景只是基础配额，竞争与奖励在第五章反馈讨论,可做政策情景扩展，正文勿称原文复现,土地利用视角的长江经济带碳排放权分配研究-212403 邹倩圆.pdf,物理25/印刷13；物理47/印刷35；物理70/印刷58,图2.1；第四、五章章首,212403 邹倩圆答辩.pptx,4、18
F23,迁移时先限定可调整资源,建议；非原文直接事实,原文碳配额有固定区域总量；创新资金/资产/服务权利性质不同,主Agent先定预算权属、承诺、年份、用途、可分性,土地利用视角的长江经济带碳排放权分配研究-212403 邹倩圆.pdf,物理44/印刷32；物理61/印刷49,式3.10；式4.12,212403 邹倩圆答辩.pptx,4、24
F24,原文公式可照抄复现,需先核记号,式4.11下界印2020，式3.10为2021；式5.3价格符号文字解释疑似倒置；Will_n越大实际意愿越低,若使用须以数据及数学重验,土地利用视角的长江经济带碳排放权分配研究-212403 邹倩圆.pdf,物理44/印刷32；物理60/印刷48；物理73/印刷61；物理76/印刷64,式3.10、4.11、5.3、5.4,212403 邹倩圆答辩.pptx,30
F25,第四章所谓效率奖励就是机制层的奖励配置,必须辨词义,第四章称效率初配的配额倾斜为“技术奖励”；图2.1的奖励配置另指评价与碳补偿,报告中保留两层含义，避免见“奖励”就映射为独立预算池,土地利用视角的长江经济带碳排放权分配研究-212403 邹倩圆.pdf,物理25/印刷13；物理64/印刷52；物理68–69/印刷56–57,图2.1；表4.11后段；4.4节,212403 邹倩圆答辩.pptx,26
